stencil,orientation,invoice_number,cone_size,number_of_lines,misc_info,date_of_inventory,silkscreen,warehouse
BASS HALL,HRZ,,,,,,,TX
BAYLOR PD,HRZ,,,,,,,TX
BRAZORIA COUNTY,HRZ,,,,,,,TX
BG,HRZ,,,,,,,TX
BHES,HRZ,,,,,,,TX
BO PHILLIPS CO. 770-939-6115,HRZ,,,,,,,TX
BASIC ENERGY,HRZ,,,,,,,TX
BELL SOUTH,HRZ,,,,,,,TX
BASIC ENERGY SERVICES,HRZ,S8822,,3-LINE,,,,TX
BEDFORD PUBLIC WORKS,HRZ,S8916,,3-LINE,,,,TX
BRAND,HRZ,S9831,,,,2010-12-06,,TX
BPU,HRZ,S10369,,,"2"" LETTERS",2011-05-04,,TX
BROOKSHIRE MWD,HRZ,S10961,,2-LINE,SLIM-LIME CONE,2011-09-23,,TX
B P U,VER,S11101,,,"2"" LETTERS",2011-11-02,,TX
B P U,VER,S11854,,,"2"" LETTERS",2012-06-05,,TX
B P D,HRZ,S11920,,,,2012-06-21,,TX
BAYTOWN PARD,HRZ,S11955,,,,2012-06-29,,TX
BSD,HRZ,S13192,,,"2"" LETTERS",2013-04-29,,TX
BUILDINGS/GROUNDS,HRZ,S14324,,2-LINE,,2013-12-12,,TX
BWS,HRZ,S14639,,,,2014-02-26,,TX
BEDFORD PUBLIC WORKS,HRZ,S14762,,3-LINE,,2014-03-18,,TX
BUILDINGS/GROUNDS,HRZ,S15590,,2-LINE,,2014-08-01,,TX
BOERNE POLICE,HRZ,S15741,,2-LINE,,2014-08-26,,TX
BUS STOP,VER,S15989,,,,2014-10-08,,TX
BEI,HRZ,S18055,,,,2015-10-07,,TX
BPW-SS,HRZ,S18217,,,,2015-11-03,,TX
BLASTING IN PROGRESS,HRZ,S18761,,3-LINE,,2016-02-22,,TX
BPI,HRZ,,"28""",,,2016-07-25,,TX
BSD,HRZ,S20614,"28""",,SLIM CONE,2016-11-14,,TX
BMU,HRZ,S22596,"28""",,SLIM CONE,2017-07-19,,TX
BR MOTORS,HRZ,S22868,"18""",2-LINE,,2017-08-15,,TX
BHE,VER,S23765,"28""",,,2017-11-09,,TX
BEAR CREEK SUD,HRZ,S23957,"28""",3-LINE,,2017-11-22,,TX
BHGC,VER,S24083,"28""",,,2017-12-06,,TX
BHM 26.2,HRZ,S25032,"18"" & 28""",2-LINE,,2018-03-16,,TX
bennett,VER,10016,"36""",,,2018-07-02,,TX
BPD,HRZ,102319,"28""",,SLIM CONE,2018-08-28,,TX
BURTON,VER,104060,"36""",,,2018-10-12,,TX
BSGC,HRZ,105748,"36""",,,2018-12-05,,TX
BAND & WRAP,VER,107252,"18"":",,,2019-01-30,,TX
BBQ,VER,107693,"28""",,,2019-02-12,,TX
BRAVES,HRZ,108130,"36""",,CONVERTED TO SILKSCREEN,2019-02-22,,TX
BCAD,VER,110811,"36""",,TRANSFERRED TO NJ,2019-04-30,,TX
BLASTING IN PROGRESS,HRZ,112661,"28""",3 LINE,,2019-06-13,,TX
BTES,HRZ,113499,"28""",,TRANSFER FROM NJ,2019-07-09,,TX
BSOPB,VER,113628,"28""",,,2019-07-10,,TX
BESSEMER PD,VER,114126,"36""",,,2019-07-23,,TX
BORDENTOWN CITY DPW,HRZ,114499,"28""",2 LINE,,2019-08-01,,TX
BODIES RC,VER,115201,ATP-O-3M,,,2019-08-19,,TX
BIBLESTA,VER,116244,"36""",,,2019-09-11,,TX
BCTE,VER,116660,"28""",,,2019-09-20,,TX
BLACK & MCDONALD,HRZ,120136,"28""",2 LINE,,2020-01-03,,TX
BRPD,HRZ,122142,"18""",,,2020-02-26,,TX
B.O.S,HRZ,124588,"36""",,ORDERED AS SILKSCREEN,2020-05-19,,TX
BVL,HRZ,127387,"28""",,ORDERED AS SILKSCREEN,2020-07-13,,TX
BERGERON,HRZ,129564,"36""",,ORDERED AS SILKSCREEN,2020-09-08,,TX
BPI,HRZ,135088,"36""",,ORDERED AS SILKSCREEN,2021-02-15,,TX
BISD,HRZ,137675,"18""",,,2021-04-14,,TX
BLOOMFIELD POLICE DEPT,HRZ,144105,"18"" & 28""",3 LINE,,2021-10-18,,TX
THE BIG EVENT,HRZ,S10164,"28""",,ORDERED AS SILKSCREEN,2011-03-16,,TX
BG,VER,S14068,,,ORDERED AS SILKSCREEN,2013-10-17,,TX
BROTEN,HRZ,S22266,"28""",,ORDERED AS SILKSCREEN,2017-06-08,,TX
BON'S BARRICADES LAYOUT- JUST THE LOGO,HRZ,TS22973,"36""",,ORDERED AS SILKSCREEN,2017-08-24,,TX
BON'S BARRICADES,HRZ,TS22973,"36""",,ORDERED AS SILKSCREEN,2017-08-24,,TX
BE CAREFUL,HRZ,HO5484,"28""",,ORDERED AS SILKSCREEN,2017-10-26,,TX
BANYAN,,119595,"28""",,ORDERED AS SILKSCREEN,2019-12-10,,TX
BIG D PAVING,,118707,"36""",,ORDERED AS SILKSCREEN,2019-11-12,,TX
BAKER EQUIPMENT & SUPPLY,,117691,"28""",,ORDERED AS SILKSCREEN,2019-10-15,,TX
BENCOR,,106486,"18""",,ORDERED AS SILKSCREEN,2019-01-07,,TX
BASS PRO SHOP FITNESS no fish,HRZ,100581,"28""",,ORDERED AS SILKSCREEN,2018-07-12,,TX
BB CIRCLE,HRZ,101322,"28"" Slim",,ORDERED AS SILKSCREEN,2018-08-03,,TX
BON'S BARRICADES,HRZ,101322,"28"" Slim",,ORDERED AS SILKSCREEN,2018-08-03,,TX
