STENCIL,ORIENTATION,INVOICE #,CONE SIZE,# OF LINES,MISC. INFO,DATE
AA  ASPHALT 5,HRZ,,,,,
AA  ASPHALT 10,HRZ,,,,,
AA  ASPHALT 17,HRZ,,,,,
ACPD,HRZ,,,,,
ADOT 7893,HRZ,,,,,
ADOT 8170,HRZ,,,,,
ALL AMAERICAN  ASPHALT,HRZ,,,,,
CITY OF ANN ARBOR,HRZ,,,,,
APPETON FIRE  832-5810H,HRZ,,,,,
APPLETON FORESTRY  832-3921,HRZ,,,,,
APPLETON POLICE  832-5500,HRZ,,,,,
APPLETON TRAFFIC   832-6015,HRZ,,,,,
ARCO  IRON WORKS,HRZ,,,,,
AWWD,HRZ,,,,,
ADJO,HRZ,,,,,
AQUA,HRZ,,,,,
AAB  305-819-5274,HRZ,,,,,
AJAX,HRZ,,,,,
AIRPORT,HRZ,,,,,
ARColWSS        ,VER,,,,Mis spelled since first order change 8/8/23 only in inventory stencil correct,
ACCESS              ,VER,,,,,
ASC SECURITY    ,VER,,,,,
AIJON                  ,VER,,,,,
APCO                  ,VER,,,,,
A HENRY            ,VER,,,,,
ALEX  TRAFFIC     ,VER,,,,,
ASPLUNDH            ,VER,,,,,
ACCTE               ,VER,,,,,
ALAGASCO       ,VER,,,,,
ACCPD                 ,VER,,,,,
ACTION  SQFETY   ,VER,,,,,
AUTO  SCOPE     ,VER,,,,,
APM               ,VER,,,,,
AMERICAN BARRICADE CO:817 318 0003  ,VER,,,,,
AREA 12            ,HRZ,,,,,
A.W.S.D.,VER,,,,,
AOT-D9,HRZ,,,,,
ACA ,HRZ,,,,,
ACC,VER,N7363,,,,
AES,VER,N7360,,,CONVERTED TO SILKSCREEN 3/19/20 123057,
AJAX,VER,N7376,,,"2"" LETTERS",
ACPD,VER,N7421,"18""",,,
ALEX TRAFFIC,HRZ,N7816,,2-LINE,,
APE-TE,HRZ,N8947,,,SLIM CONE,
APCON,HRZ,N9808,,,,
AAB 305-819-5274,HRZ,N10793,,,"2"" LETTERS",2010-06-28
ACME BARRICADES 800-373-7704,VER,N10846,,3-LINE,,2010-07-06
ACME BARRICADES 800-373-7704,VER,N11274,,3-LINE,Converted to silk screen 10/10/2109,2010-08-19
A & G,HRZ,N10988,,,,2010-08-23
APD-TE,HRZ,N11763,,,SLIM CONE,2010-10-06
ARROW ( For men working above),VER,N11907,,,,2010-10-21
AAB EVENTS 305-685-6124,HRZ,N12227,,,,2010-11-18
A C A ,HRZ,N12650,"36""",,,2011-01-27
ACRT,HRZ,N13086,"28""",,,2011-03-16
A B ,HRZ,N13736,"36""",,,2011-05-06
ASC,HRZ,N14023,,,"3"" LETTERS",2011-06-08
A.H. CORNELL,HRZ,N14619,,,,2011-08-05
ACCPD,HRZ,N15332,"18""",,,2011-10-10
NO PARKING TOW AWAY 4 ACCPD,HRZ,N15332,"18""",,,2011-10-10
ATDPW,VER,N13544,"28""",,,2011-10-11
A J A X,HRZ,N15522,"36""",,,2011-11-02
APD - TE,HRZ,N15643,"28""",,SLIM CONE,2011-11-11
ACPD,HRZ,N16585,"28""",,,2012-03-13
ARCHER WESTERN LOGO,HRZ,N16819,"36""",,,2012-04-04
AB,HRZ,N16897,,,,2012-04-10
ACPD,HRZ,N16929,,,,2012-04-12
AD ELECTRIC,HRZ,N17041,"28""",2-LINE,SLIM CONE,2012-04-23
